"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","score"
"622",0,0,0,0,0,0,0,0,0,1,1
"623",0,2,0,0,2,1,2,3,0,4,4
"624",0,0,0,1,0,0,0,0,0,0,0
"625",0,0,0,1,0,0,0,0,0,0,0
"626",0,1,0,0,2,0,1,3,0,4,4
"627",0,1,0,0,1,0,0,1,0,2,2
"628",0,0,0,0,1,0,1,1,0,1,1
"629",0,0,0,0,1,0,0,1,0,1,1
"630",1,0,0,1,0,1,0,0,1,0,-1
"631",0,0,0,0,1,0,0,0,0,1,1
"632",1,1,0,0,1,0,1,1,0,1,1
"633",0,0,0,0,0,0,0,1,0,1,1
"634",0,1,0,0,1,0,1,1,0,1,1
"635",0,0,0,0,0,0,0,0,0,0,0
"636",0,0,0,0,0,0,0,2,0,2,2
"637",0,0,0,0,1,0,0,1,0,3,3
"638",0,0,0,0,1,0,0,1,0,1,1
"639",0,0,0,0,0,0,0,0,0,2,2
"640",0,0,0,0,0,0,0,0,0,0,0
"641",0,2,0,0,3,0,2,2,0,4,4
"642",0,2,0,0,1,0,1,3,1,2,1
"643",0,1,0,0,1,0,1,1,0,1,1
"644",0,1,0,0,2,0,1,2,0,2,2
"645",0,1,0,0,0,0,0,1,0,1,1
"646",0,0,0,0,0,0,0,0,0,0,0
"647",0,1,0,0,4,0,1,2,0,6,6
"648",0,1,0,0,1,0,1,1,0,1,1
"649",0,0,0,0,1,0,0,1,0,1,1
"650",0,1,0,0,2,0,1,1,0,2,2
"651",1,2,1,0,2,1,1,2,1,3,2
"652",0,0,0,0,0,0,0,0,0,1,1
"653",0,0,0,0,0,1,0,0,1,0,-1
"654",0,1,0,0,1,0,1,1,0,1,1
"655",0,0,0,0,2,0,1,3,0,3,3
"656",1,1,0,1,1,1,0,1,1,3,2
"657",0,1,0,0,1,0,1,1,1,1,0
"658",0,0,0,0,0,0,0,0,0,1,1
"659",0,1,0,1,1,0,1,1,0,1,1
"660",0,0,0,0,0,0,0,1,0,1,1
"661",0,0,0,0,1,0,0,1,0,1,1
"662",0,0,0,0,0,0,0,0,0,0,0
"663",0,2,0,1,1,0,1,2,0,2,2
"664",0,0,0,0,0,0,0,0,0,0,0
"665",0,0,0,0,0,0,0,0,0,0,0
"666",0,2,0,0,2,0,1,2,0,2,2
"667",1,4,1,1,4,1,3,5,1,6,5
"668",0,3,0,0,1,0,1,1,0,2,2
"669",0,0,0,0,0,0,0,0,0,0,0
"670",0,0,0,0,1,0,0,1,0,1,1
"671",0,0,0,0,0,0,0,0,0,0,0
"672",0,1,0,0,0,0,0,0,0,0,0
"673",0,0,0,0,1,0,0,1,0,1,1
"674",0,2,0,0,1,0,1,1,0,2,2
"675",0,1,0,0,0,0,0,0,0,1,1
"676",0,0,0,0,0,0,0,0,0,0,0
"677",0,0,0,0,0,0,1,0,0,0,0
"678",0,0,0,0,0,0,0,0,0,0,0
"679",0,2,0,0,2,0,0,1,0,2,2
"680",0,0,0,0,0,0,0,0,0,0,0
"681",1,2,1,2,2,0,0,3,0,2,2
"682",0,0,0,0,2,0,0,1,0,2,2
"683",0,0,0,0,0,0,0,0,0,0,0
"684",0,0,0,0,0,0,0,0,0,0,0
"685",0,1,0,0,0,0,0,0,1,0,-1
"686",0,0,0,0,0,0,0,0,0,0,0
"687",0,0,0,0,0,0,0,0,0,0,0
"688",0,2,0,0,2,1,1,3,0,3,3
"689",0,2,0,0,1,0,1,1,0,2,2
"690",0,0,0,0,0,0,0,0,0,0,0
"691",0,0,0,0,0,0,0,0,0,0,0
"692",0,1,0,0,1,0,0,2,0,2,2
"693",0,0,0,0,0,0,0,0,0,0,0
