,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,Book
612,0,0,0,0,0,0,0,1,0,1,1,Ikigai
613,0,0,0,0,0,0,0,0,0,0,0,Ikigai
614,0,0,0,0,0,0,0,0,0,1,1,Ikigai
615,0,2,0,0,2,0,1,1,0,2,2,Ikigai
616,0,1,0,0,1,0,1,1,0,1,1,Ikigai
617,0,0,0,0,0,0,0,0,0,0,0,Ikigai
618,0,1,0,0,1,0,0,4,0,4,4,Ikigai
619,0,1,0,0,0,0,0,1,0,1,1,Ikigai
620,0,0,0,0,0,0,0,1,0,0,0,Ikigai
621,0,0,0,0,0,0,0,0,0,1,1,Ikigai
622,0,0,0,0,0,0,0,0,0,1,1,Ikigai
623,0,2,0,0,2,1,2,3,0,4,4,Ikigai
624,0,0,0,1,0,0,0,0,0,0,0,Ikigai
625,0,0,0,1,0,0,0,0,0,0,0,Ikigai
626,0,1,0,0,2,0,1,3,0,4,4,Ikigai
627,0,1,0,0,1,0,0,1,0,2,2,Ikigai
628,0,0,0,0,1,0,1,1,0,1,1,Ikigai
629,0,0,0,0,1,0,0,1,0,1,1,Ikigai
630,1,0,0,1,0,1,0,0,1,0,-1,Ikigai
631,0,0,0,0,1,0,0,0,0,1,1,Ikigai
632,1,1,0,0,1,0,1,1,0,1,1,Ikigai
633,0,0,0,0,0,0,0,1,0,1,1,Ikigai
634,0,1,0,0,1,0,1,1,0,1,1,Ikigai
635,0,0,0,0,0,0,0,0,0,0,0,Ikigai
636,0,0,0,0,0,0,0,2,0,2,2,Ikigai
637,0,0,0,0,1,0,0,1,0,3,3,Ikigai
638,0,0,0,0,1,0,0,1,0,1,1,Ikigai
639,0,0,0,0,0,0,0,0,0,2,2,Ikigai
640,0,0,0,0,0,0,0,0,0,0,0,Ikigai
641,0,2,0,0,3,0,2,2,0,4,4,Ikigai
642,0,2,0,0,1,0,1,3,1,2,1,Ikigai
643,0,1,0,0,1,0,1,1,0,1,1,Ikigai
644,0,1,0,0,2,0,1,2,0,2,2,Ikigai
645,0,1,0,0,0,0,0,1,0,1,1,Ikigai
646,0,0,0,0,0,0,0,0,0,0,0,Ikigai
647,0,1,0,0,4,0,1,2,0,6,6,Ikigai
648,0,1,0,0,1,0,1,1,0,1,1,Ikigai
649,0,0,0,0,1,0,0,1,0,1,1,Ikigai
650,0,1,0,0,2,0,1,1,0,2,2,Ikigai
651,1,2,1,0,2,1,1,2,1,3,2,Ikigai
652,0,0,0,0,0,0,0,0,0,1,1,Ikigai
653,0,0,0,0,0,1,0,0,1,0,-1,Ikigai
654,0,1,0,0,1,0,1,1,0,1,1,Ikigai
655,0,0,0,0,2,0,1,3,0,3,3,Ikigai
656,1,1,0,1,1,1,0,1,1,3,2,Ikigai
657,0,1,0,0,1,0,1,1,1,1,0,Ikigai
658,0,0,0,0,0,0,0,0,0,1,1,Ikigai
659,0,1,0,1,1,0,1,1,0,1,1,Ikigai
660,0,0,0,0,0,0,0,1,0,1,1,Ikigai
661,0,0,0,0,1,0,0,1,0,1,1,Ikigai
662,0,0,0,0,0,0,0,0,0,0,0,Ikigai
663,0,2,0,1,1,0,1,2,0,2,2,Ikigai
664,0,0,0,0,0,0,0,0,0,0,0,Ikigai
665,0,0,0,0,0,0,0,0,0,0,0,Ikigai
666,0,2,0,0,2,0,1,2,0,2,2,Ikigai
667,1,4,1,1,4,1,3,5,1,6,5,Ikigai
668,0,3,0,0,1,0,1,1,0,2,2,Ikigai
669,0,0,0,0,0,0,0,0,0,0,0,Ikigai
670,0,0,0,0,1,0,0,1,0,1,1,Ikigai
671,0,0,0,0,0,0,0,0,0,0,0,Ikigai
672,0,1,0,0,0,0,0,0,0,0,0,Ikigai
673,0,0,0,0,1,0,0,1,0,1,1,Ikigai
674,0,2,0,0,1,0,1,1,0,2,2,Ikigai
675,0,1,0,0,0,0,0,0,0,1,1,Ikigai
676,0,0,0,0,0,0,0,0,0,0,0,Ikigai
677,0,0,0,0,0,0,1,0,0,0,0,Ikigai
678,0,0,0,0,0,0,0,0,0,0,0,Ikigai
679,0,2,0,0,2,0,0,1,0,2,2,Ikigai
680,0,0,0,0,0,0,0,0,0,0,0,Ikigai
681,1,2,1,2,2,0,0,3,0,2,2,Ikigai
682,0,0,0,0,2,0,0,1,0,2,2,Ikigai
683,0,0,0,0,0,0,0,0,0,0,0,Ikigai
684,0,0,0,0,0,0,0,0,0,0,0,Ikigai
685,0,1,0,0,0,0,0,0,1,0,-1,Ikigai
686,0,0,0,0,0,0,0,0,0,0,0,Ikigai
687,0,0,0,0,0,0,0,0,0,0,0,Ikigai
688,0,2,0,0,2,1,1,3,0,3,3,Ikigai
689,0,2,0,0,1,0,1,1,0,2,2,Ikigai
690,0,0,0,0,0,0,0,0,0,0,0,Ikigai
691,0,0,0,0,0,0,0,0,0,0,0,Ikigai
692,0,1,0,0,1,0,0,2,0,2,2,Ikigai
693,0,0,0,0,0,0,0,0,0,0,0,Ikigai
694,0,0,0,0,0,0,0,1,0,1,1,Ikigai
695,0,0,0,0,0,0,0,0,0,0,0,Ikigai
696,0,0,0,0,0,0,0,0,0,0,0,Ikigai
697,0,0,0,0,0,0,0,0,0,0,0,Ikigai
698,0,1,0,0,1,0,1,1,0,3,3,Ikigai
699,0,0,0,0,0,0,0,0,0,0,0,Ikigai
700,0,1,0,0,1,0,0,1,0,2,2,Ikigai
701,0,0,0,0,0,0,0,0,0,0,0,Ikigai
702,0,1,0,1,1,1,0,0,1,1,0,Ikigai
703,0,2,0,0,2,1,2,2,0,2,2,Ikigai
704,0,0,0,0,1,0,0,1,0,1,1,Ikigai
705,0,1,0,0,1,0,1,1,0,1,1,Ikigai
706,1,0,1,1,1,0,0,1,2,2,0,Ikigai
707,0,0,0,0,0,0,0,0,0,0,0,Ikigai
708,0,1,0,0,1,0,1,1,0,1,1,Ikigai
709,0,1,0,0,1,0,0,0,0,2,2,Ikigai
710,0,2,0,0,2,0,1,2,0,2,2,Ikigai
711,0,1,0,0,1,0,1,1,1,1,0,Ikigai
712,0,0,0,0,0,0,0,0,0,0,0,Ikigai
713,0,1,0,0,1,0,0,1,0,1,1,Ikigai
714,0,1,0,0,1,0,1,1,0,1,1,Ikigai
715,0,0,0,0,0,0,0,0,0,1,1,Ikigai
716,0,0,0,0,0,0,0,0,0,0,0,Ikigai
717,0,0,0,0,1,0,0,0,0,1,1,Ikigai
718,0,1,0,0,0,0,0,0,0,0,0,Ikigai
719,0,0,0,0,0,0,0,1,0,1,1,Ikigai
720,0,1,0,0,1,1,1,2,0,2,2,Ikigai
721,0,3,0,0,3,0,0,3,0,4,4,Ikigai
722,0,0,0,0,0,0,0,0,0,0,0,Ikigai
723,0,1,0,0,0,0,0,0,0,0,0,Ikigai
724,0,0,0,0,0,0,0,1,0,0,0,Ikigai
725,0,1,0,0,1,0,0,1,0,1,1,Ikigai
726,0,0,0,0,1,0,0,0,0,2,2,Ikigai
727,0,0,0,0,0,0,0,0,0,1,1,Ikigai
728,0,1,0,0,0,0,0,0,0,0,0,Ikigai
729,0,2,0,0,0,0,0,0,0,1,1,Ikigai
730,0,0,0,0,0,0,0,0,0,0,0,Ikigai
731,1,2,0,1,2,1,0,2,1,4,3,Ikigai
732,0,0,0,0,1,0,0,0,0,1,1,Ikigai
733,0,0,0,0,1,0,0,2,2,3,1,Ikigai
734,0,0,0,0,0,0,0,1,0,0,0,Ikigai
735,0,0,0,1,0,1,0,0,1,0,-1,Ikigai
736,0,0,0,0,0,0,0,1,0,1,1,Ikigai
737,0,1,0,0,2,0,0,2,0,2,2,Ikigai
738,0,0,0,0,0,0,0,0,0,1,1,Ikigai
739,0,1,0,0,1,0,1,2,0,1,1,Ikigai
740,0,0,0,0,1,0,0,1,0,1,1,Ikigai
741,0,2,0,0,1,1,1,1,1,3,2,Ikigai
742,0,1,1,0,2,1,1,3,2,2,0,Ikigai
743,0,1,0,0,1,0,1,1,0,1,1,Ikigai
744,0,0,0,0,0,0,0,0,0,0,0,Ikigai
745,0,0,0,0,0,0,0,0,0,0,0,Ikigai
746,0,0,0,0,0,0,0,0,0,0,0,Ikigai
747,0,0,0,0,0,0,0,0,0,0,0,Ikigai
748,0,1,0,0,1,0,1,1,0,4,4,Ikigai
749,0,2,0,0,1,0,1,1,0,2,2,Ikigai
750,0,3,0,0,4,0,1,3,1,4,3,Ikigai
751,0,3,2,0,3,1,2,1,2,3,1,Ikigai
752,0,0,0,0,0,0,0,0,0,0,0,Ikigai
753,0,1,0,0,0,0,0,0,1,1,0,Ikigai
754,0,1,0,0,2,0,1,2,0,2,2,Ikigai
755,1,2,1,1,1,2,1,1,2,1,-1,Ikigai
756,0,0,0,0,0,0,0,1,0,2,2,Ikigai
757,0,0,0,0,0,0,0,0,0,0,0,Ikigai
758,0,0,0,0,1,0,0,1,0,1,1,Ikigai
759,0,0,0,0,0,0,0,0,0,0,0,Ikigai
760,0,0,0,0,0,0,0,0,0,0,0,Ikigai
761,0,0,0,0,0,0,0,0,0,0,0,Ikigai
762,0,2,0,0,1,0,0,1,0,1,1,Ikigai
763,0,0,0,0,0,0,0,1,0,2,2,Ikigai
764,0,1,0,0,2,0,1,0,0,2,2,Ikigai
765,0,0,0,0,1,0,0,1,0,2,2,Ikigai
766,0,0,0,0,0,0,0,0,0,0,0,Ikigai
767,0,0,0,0,1,0,0,1,0,1,1,Ikigai
768,0,1,0,0,1,0,1,1,0,1,1,Ikigai
769,0,0,0,0,0,0,0,0,0,1,1,Ikigai
770,0,1,1,1,1,1,0,1,2,1,-1,Ikigai
771,0,2,0,0,2,0,0,2,0,2,2,Ikigai
772,0,0,0,0,0,0,0,0,0,0,0,Ikigai
773,0,0,0,0,1,0,1,1,0,2,2,Ikigai
774,0,1,0,0,1,0,0,1,0,1,1,Ikigai
775,0,0,0,0,0,0,0,1,0,1,1,Ikigai
776,0,0,0,0,0,0,0,0,0,0,0,Ikigai
777,0,0,0,0,0,0,0,0,0,0,0,Ikigai
778,0,1,0,0,1,0,1,2,0,1,1,Ikigai
779,0,1,0,0,1,0,1,1,0,2,2,Ikigai
780,0,0,0,0,0,0,0,0,0,0,0,Ikigai
781,0,0,0,0,0,0,0,0,0,0,0,Ikigai
782,0,0,0,0,0,0,0,0,0,0,0,Ikigai
783,0,2,0,0,2,0,1,2,0,2,2,Ikigai
784,0,1,0,0,2,0,1,2,0,2,2,Ikigai
785,0,0,0,0,0,0,0,1,0,0,0,Ikigai
786,0,1,0,0,2,0,1,2,0,2,2,Ikigai
787,0,2,0,0,2,0,1,1,0,3,3,Ikigai
788,0,1,0,0,1,0,1,1,0,2,2,Ikigai
789,0,2,0,0,2,0,2,2,0,3,3,Ikigai
790,0,0,0,0,0,0,0,0,0,0,0,Ikigai
791,0,0,0,0,0,0,0,0,0,0,0,Ikigai
792,0,0,0,0,0,0,0,0,0,0,0,Ikigai
793,0,0,0,0,0,0,0,0,0,0,0,Ikigai
794,0,0,0,0,0,0,0,0,0,0,0,Ikigai
795,0,0,0,0,2,0,0,1,0,2,2,Ikigai
796,0,0,0,0,0,0,0,0,0,0,0,Ikigai
797,0,0,0,0,0,0,0,0,0,0,0,Ikigai
798,0,0,0,0,0,0,0,0,0,0,0,Ikigai
799,0,0,0,0,0,0,0,0,0,0,0,Ikigai
800,0,0,0,0,0,0,0,0,0,0,0,Ikigai
801,0,0,0,0,1,0,0,0,0,1,1,Ikigai
802,0,2,0,0,2,0,2,2,0,2,2,Ikigai
803,0,1,0,0,1,0,1,1,0,1,1,Ikigai
804,0,1,0,0,1,0,0,1,0,1,1,Ikigai
805,0,1,0,0,1,0,1,1,0,1,1,Ikigai
806,0,0,0,0,0,0,0,0,0,0,0,Ikigai
807,0,0,0,0,0,0,0,1,0,1,1,Ikigai
808,0,1,0,0,1,0,1,2,0,1,1,Ikigai
809,0,0,0,0,0,0,0,0,0,0,0,Ikigai
810,1,0,0,0,0,1,0,0,1,0,-1,Ikigai
811,0,0,0,0,0,0,0,0,0,0,0,Ikigai
812,0,1,0,0,2,0,1,2,0,3,3,Ikigai
813,0,1,0,0,1,0,1,1,0,1,1,Ikigai
814,0,1,0,0,2,0,1,1,0,2,2,Ikigai
815,0,2,0,0,1,0,0,1,0,3,3,Ikigai
816,0,2,0,0,1,1,1,0,0,2,2,Ikigai
817,0,0,0,0,0,0,0,0,0,0,0,Ikigai
818,0,1,0,0,1,0,1,1,0,1,1,Ikigai
819,0,0,0,0,0,0,0,0,0,0,0,Ikigai
820,0,0,0,1,0,1,0,0,1,0,-1,Ikigai
821,0,0,0,0,0,0,0,0,0,2,2,Ikigai
822,1,0,1,1,0,1,0,0,1,0,-1,Ikigai
823,0,1,0,0,1,0,1,1,0,1,1,Ikigai
824,0,1,0,0,1,0,0,1,0,2,2,Ikigai
825,0,0,0,0,0,0,0,0,0,0,0,Ikigai
826,0,0,0,0,0,0,0,0,0,0,0,Ikigai
827,0,0,0,0,1,0,0,0,0,2,2,Ikigai
828,0,0,0,0,0,0,0,0,0,0,0,Ikigai
829,0,1,0,0,0,0,0,1,1,2,1,Ikigai
830,0,2,0,0,1,0,1,1,0,2,2,Ikigai
831,0,0,0,0,1,0,0,1,0,1,1,Ikigai
832,0,0,0,0,0,0,0,0,0,0,0,Ikigai
833,0,0,0,0,0,0,0,0,0,0,0,Ikigai
834,0,0,0,0,0,0,0,0,0,0,0,Ikigai
835,0,0,0,0,0,0,0,1,0,2,2,Ikigai
836,0,1,0,0,1,0,1,1,0,1,1,Ikigai
837,0,0,0,0,0,0,0,0,0,0,0,Ikigai
838,0,1,0,0,0,0,0,0,0,0,0,Ikigai
839,0,0,0,0,0,0,0,0,0,0,0,Ikigai
840,0,0,0,0,1,0,0,0,0,1,1,Ikigai
841,0,1,0,0,1,0,1,1,0,1,1,Ikigai
842,0,2,0,0,1,0,1,1,0,1,1,Ikigai
843,0,1,0,0,1,0,1,1,0,1,1,Ikigai
844,1,1,0,0,1,0,1,1,0,2,2,Ikigai
845,0,0,0,0,0,0,0,0,0,0,0,Ikigai
846,0,0,0,0,0,0,0,0,0,1,1,Ikigai
847,0,0,0,0,0,0,0,0,0,0,0,Ikigai
848,0,0,0,0,0,0,0,0,0,0,0,Ikigai
849,0,0,0,0,0,0,0,0,0,0,0,Ikigai
850,0,1,0,0,1,1,1,1,0,1,1,Ikigai
851,0,0,0,0,0,0,0,0,0,1,1,Ikigai
852,0,0,0,0,0,0,0,0,0,0,0,Ikigai
853,0,0,0,0,0,0,0,0,0,0,0,Ikigai
854,1,1,1,0,1,0,1,1,1,2,1,Ikigai
855,0,0,0,0,0,0,0,0,0,0,0,Ikigai
856,0,0,0,0,0,0,0,1,0,1,1,Ikigai
857,0,1,0,0,1,0,1,1,0,2,2,Ikigai
858,0,1,0,0,1,0,0,1,0,2,2,Ikigai
859,0,1,0,0,1,0,1,1,0,1,1,Ikigai
860,0,0,0,0,0,0,0,0,0,0,0,Ikigai
861,0,1,0,0,1,0,1,1,0,1,1,Ikigai
862,0,0,0,0,0,0,0,1,1,1,0,Ikigai
863,0,1,0,0,1,0,1,1,0,1,1,Ikigai
864,0,1,0,0,1,0,1,1,0,1,1,Ikigai
865,0,1,0,0,1,0,1,1,0,1,1,Ikigai
866,0,0,0,0,0,0,0,0,0,0,0,Ikigai
867,1,0,1,0,0,0,0,0,1,1,0,Ikigai
868,0,3,0,0,2,0,0,2,0,4,4,Ikigai
869,0,0,0,0,0,0,0,0,0,0,0,Ikigai
870,0,0,0,0,0,0,0,0,0,0,0,Ikigai
871,0,0,0,0,0,0,0,0,0,0,0,Ikigai
872,0,0,0,0,0,0,0,0,0,0,0,Ikigai
873,0,0,0,0,0,0,0,0,0,0,0,Ikigai
874,0,0,0,0,0,0,0,0,0,0,0,Ikigai
875,0,1,0,0,1,0,1,1,0,2,2,Ikigai
876,0,0,0,0,0,0,0,0,0,0,0,Ikigai
877,0,0,0,0,1,0,0,1,0,1,1,Ikigai
878,0,0,0,0,0,0,0,0,0,0,0,Ikigai
879,0,0,0,0,0,0,0,0,0,0,0,Ikigai
880,0,0,0,0,1,0,0,1,0,1,1,Ikigai
881,0,0,0,0,2,0,0,1,0,2,2,Ikigai
882,0,0,0,0,0,0,0,0,0,0,0,Ikigai
883,0,0,0,0,0,0,0,0,0,0,0,Ikigai
884,0,1,0,0,1,0,1,1,0,1,1,Ikigai
885,0,0,0,0,0,0,0,0,0,0,0,Ikigai
886,0,0,0,0,0,0,0,0,0,0,0,Ikigai
887,0,0,0,0,0,0,0,1,0,0,0,Ikigai
888,0,1,0,0,1,0,1,1,0,1,1,Ikigai
889,0,0,0,0,0,0,0,0,0,0,0,Ikigai
890,0,0,0,0,0,0,0,0,0,0,0,Ikigai
891,0,0,0,0,0,0,0,0,0,0,0,Ikigai
