,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,Book
174,0,1,0,0,0,0,0,1,0,0,0,Subconcious
175,1,1,0,2,2,1,0,2,2,4,2,Subconcious
176,0,1,0,0,0,0,0,1,0,0,0,Subconcious
177,0,2,0,0,2,0,1,4,0,3,3,Subconcious
178,0,0,0,0,0,0,0,2,1,1,0,Subconcious
179,2,5,2,1,3,1,3,3,2,5,3,Subconcious
180,0,1,0,0,2,0,0,2,0,2,2,Subconcious
181,1,4,1,1,4,1,1,4,1,5,4,Subconcious
182,0,0,0,0,0,0,0,0,0,0,0,Subconcious
183,0,1,0,0,1,1,1,2,0,2,2,Subconcious
184,0,0,0,0,2,0,0,2,0,3,3,Subconcious
185,2,4,1,2,5,1,1,6,2,6,4,Subconcious
186,0,0,0,0,0,0,0,0,1,1,0,Subconcious
187,0,0,0,1,0,0,0,0,1,1,0,Subconcious
188,0,1,0,0,2,0,1,2,0,4,4,Subconcious
189,1,1,1,1,3,1,2,3,1,6,5,Subconcious
190,0,1,0,2,1,0,0,3,0,2,2,Subconcious
191,0,2,0,1,1,1,1,2,1,6,5,Subconcious
192,1,5,0,0,5,0,2,6,0,5,5,Subconcious
193,0,2,0,0,1,0,1,3,1,3,2,Subconcious
194,0,3,0,0,2,2,1,3,2,6,4,Subconcious
195,0,2,0,0,2,0,1,3,0,3,3,Subconcious
196,0,1,0,0,1,0,0,1,0,4,4,Subconcious
197,0,2,0,0,3,0,2,3,0,5,5,Subconcious
198,0,2,0,0,3,1,2,1,1,4,3,Subconcious
199,0,0,0,1,0,1,0,1,1,3,2,Subconcious
200,0,0,0,0,0,0,0,0,1,3,2,Subconcious
201,1,1,0,0,1,0,1,1,0,4,4,Subconcious
202,1,3,1,0,2,0,2,3,1,3,2,Subconcious
203,0,0,0,0,2,0,0,2,1,5,4,Subconcious
204,0,0,0,0,1,0,0,2,0,1,1,Subconcious
205,0,0,0,0,0,0,0,0,0,0,0,Subconcious
206,0,1,0,0,0,0,0,3,0,4,4,Subconcious
207,0,0,0,0,0,0,0,0,0,2,2,Subconcious
208,0,0,0,1,0,0,0,2,0,4,4,Subconcious
209,0,1,0,0,1,0,0,2,0,2,2,Subconcious
210,0,0,0,0,1,0,0,2,0,2,2,Subconcious
211,0,1,0,0,2,0,0,1,0,4,4,Subconcious
212,0,0,0,1,2,0,0,2,0,2,2,Subconcious
213,0,0,0,0,0,0,0,2,0,2,2,Subconcious
214,0,0,0,0,0,0,0,0,0,0,0,Subconcious
215,0,0,0,1,0,0,0,0,0,1,1,Subconcious
216,0,0,0,0,1,0,0,1,1,1,0,Subconcious
217,2,2,0,2,3,1,1,3,3,3,0,Subconcious
218,0,2,0,1,0,0,0,2,0,5,5,Subconcious
219,0,1,0,0,2,0,0,3,0,4,4,Subconcious
220,0,1,0,0,1,0,1,2,0,3,3,Subconcious
221,2,2,1,2,2,2,1,1,2,2,0,Subconcious
222,0,1,0,0,1,0,1,1,0,2,2,Subconcious
223,0,0,0,0,1,0,0,1,0,3,3,Subconcious
224,0,2,0,0,1,0,1,2,0,4,4,Subconcious
225,0,2,0,0,2,0,0,2,0,4,4,Subconcious
226,0,0,0,0,0,0,0,0,0,0,0,Subconcious
227,1,1,1,1,0,1,0,0,2,1,-1,Subconcious
228,2,3,1,1,3,1,1,6,2,7,5,Subconcious
229,0,1,0,1,2,0,1,2,0,4,4,Subconcious
230,0,1,0,1,1,1,1,1,1,1,0,Subconcious
231,1,1,0,0,1,2,0,2,2,3,1,Subconcious
232,0,2,0,2,2,0,0,2,0,7,7,Subconcious
233,0,1,0,0,1,0,0,3,0,4,4,Subconcious
234,0,0,0,0,1,0,1,1,0,1,1,Subconcious
235,1,1,1,0,0,1,0,1,1,4,3,Subconcious
236,0,1,0,1,0,0,0,1,1,3,2,Subconcious
237,0,0,0,0,0,0,0,2,0,3,3,Subconcious
238,0,0,0,1,2,0,0,2,0,5,5,Subconcious
239,0,0,0,0,2,0,0,2,0,3,3,Subconcious
240,1,1,1,0,0,0,0,1,2,1,-1,Subconcious
241,1,1,1,0,0,0,0,0,1,1,0,Subconcious
