,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,Book
4912,0,1,0,1,1,0,1,1,0,1,1,The Secret
4913,0,3,0,1,3,1,1,4,3,5,2,The Secret
4914,0,0,0,0,0,0,0,0,0,0,0,The Secret
4915,0,0,0,0,0,0,0,0,0,0,0,The Secret
4916,0,0,0,0,0,0,0,0,0,0,0,The Secret
4917,0,1,0,0,1,0,1,0,1,1,0,The Secret
4918,0,1,0,0,0,0,0,1,0,1,1,The Secret
4919,0,0,0,0,0,0,0,0,0,0,0,The Secret
4920,0,1,0,0,1,0,1,3,0,4,4,The Secret
4921,0,0,0,2,0,0,0,0,0,1,1,The Secret
4922,0,0,0,0,0,0,0,0,0,0,0,The Secret
4923,0,0,0,0,0,0,0,0,0,0,0,The Secret
4924,0,0,0,0,0,0,0,1,0,0,0,The Secret
4925,0,0,0,0,0,0,1,0,0,1,1,The Secret
4926,0,0,0,0,1,0,0,1,0,1,1,The Secret
